tmdb_id,imdb_id,title,original_title,overview,release_date,status,genres,keywords,director,top_cast,budget,revenue,runtime,vote_average,vote_count,popularity,original_language,production_country,adult,video,omdb_error,roi,is_animation,release_year,release_month,release_quarter,is_holiday_window,budget_musd,revenue_musd,profit_musd,vote_count_log,popularity_log,num_genres,genre_animation,genre_adventure,genre_family,genre_drama,genre_fantasy,genre_comedy,genre_action,success_score,success_label
150540,tt2096673,Inside Out,Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",2015-06-17,Released,"Adventure, Animation, Comedy, Drama, Family","dreams, san francisco, california, minnesota, sadness, cartoon, disgust, ice hockey, imaginary friend, elementary school, family relationships",Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black",175000000,857611174,95,7.91,23421,22.8751,en,US,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt2096673&plot=short&apikey=f87d98bd,4.90063528,1,2015,6,2,1,175.0,857.611174,682.611174,10.061431030602083,3.1728360748396978,5,1,1,1,1,0,1,0,6.167925941816268,1
105864,tt1979388,The Good Dinosaur,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,2015-11-14,Released,"Adventure, Animation, Family","friendship, tyrannosaurus rex, cartoon, friends, alternate history, dinosaur, fear, storm, nature, journey",Peter Sohn,"Frances McDormand, Raymond Ochoa, Jeffrey Wright, Steve Zahn, Sam Elliott",175000000,332207671,93,6.742,5980,11.6763,en,US,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt1979388&plot=short&apikey=f87d98bd,1.8983295485714289,1,2015,11,4,1,175.0,332.207671,157.207671,8.696343057044556,2.5397341083204727,3,1,1,1,0,0,0,0,4.225159871661897,1
483685,tt5265536,Tokyo Ghoul: Jack,東京喰種トーキョーグール【JACK】,"Who needs school, who needs baseball, and who needs friends? That's the attitude of high school delinquent, Taishi Fura, who became a loner after falling out with his peers. One day, he witnesses the brutal attack of a ghoul, which left one of his former friends in the hospital and the other dead. Determined to avenge them, Fura decides to pursue the man-eating monster.  His efforts allow him to cross paths with Kishou Arima, a quiet student who also attends his high school. Arima, however, is no ordinary student. Despite his young age, he is a full-fledged investigator of the CCG, a government task force that strives to deal with the ghoul threat. Together, Fura and Arima hunt down the ghoul, known as Lantern, but it soon becomes apparent the monster may be closer than anyone suspects.  In this side story, Tokyo Ghoul: ""Jack"" offers a glimpse into the past of Kishou Arima, well before he ever became the CCG's feared God of Death.",2015-09-05,Released,"Action, Animation, Drama, Horror","monster, gore, prequel, tragedy, school, based on manga, spin off, ghoul, seinen, anime",Soichi Shimada,"Saori Hayami, Daisuke Namikawa, Ryohei Kimura, Rumi Okubo, Tatsuhisa Suzuki",0,0,30,7.62,96,10.6121,ja,JP,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt5265536&plot=short&apikey=f87d98bd,0.0,1,2015,9,3,0,0.0,0.0,0.0,4.574710978503383,2.4520476579062187,4,1,0,0,1,0,0,1,2.95901379546144,1
228161,tt2224026,Home,Home,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",2015-03-18,Released,"Animation, Comedy, Family, Fantasy, Science Fiction","spacecraft, villain, alien, space, alien invasion, aftercreditsstinger, duringcreditsstinger, alien friendship, awful leader, taking resposibility",Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez, Matt Jones",135000000,368871007,94,6.788,4216,8.2824,en,US,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt2224026&plot=short&apikey=f87d98bd,2.7323778296296295,1,2015,3,1,0,135.0,368.871007,233.871007,8.34687925374656,2.2281201340511987,5,1,0,1,0,1,1,0,4.512819931502997,1
159824,tt2510894,Hotel Transylvania 2,Hotel Transylvania 2,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",2015-09-21,Released,"Animation, Comedy, Family, Fantasy","hotel, witch, skeleton, magic, transylvania, technology, marriage, mummy, only child, backpacker",Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Steve Buscemi",80000000,473200000,89,6.763,6114,7.0118,en,US,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt2510894&plot=short&apikey=f87d98bd,5.915,1,2015,9,3,0,80.0,473.2,393.2,8.718500048121273,2.080915454935836,4,1,0,1,0,1,1,0,5.972412325458566,1
228165,tt2279373,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,"Evil pirate Burger Beard is in search of the final page of a magical book that makes any evil plan he writes in it come true, but the final page happens to be the Krabby Patty secret formula. When Burger Beard endangers Bikini Bottom, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton must embark on a quest to retrieve the recipe and save their city...a quest that takes them to the surface world and transforms them into superheroes.",2015-01-28,Released,"Adventure, Animation, Comedy, Family, Fantasy","sea, ocean, villain, sequel, computer animation, based on cartoon, pirate, superhero team, aftercreditsstinger, live action and animation","Paul Tibbitt, Mike Mitchell","Tom Kenny, Bill Fagerbakke, Rodger Bumpass, Clancy Brown, Mr. Lawrence",74000000,325186032,93,6.102,2525,6.0274,en,US,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt2279373&plot=short&apikey=f87d98bd,4.394405837837838,1,2015,1,1,0,74.0,325.186032,251.186032,7.8343923029104365,1.9498167938858502,5,1,1,1,0,1,1,0,4.97061399154647,1
211672,tt2293640,Minions,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",2015-06-17,Released,"Adventure, Animation, Comedy, Family","assistant, villain, prequel, aftercreditsstinger, duringcreditsstinger, evil mastermind, supervillain, amused, joyful","Kyle Balda, Pierre Coffin","Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan",74000000,1159457503,91,6.419,11082,5.9212,en,US,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt2293640&plot=short&apikey=f87d98bd,15.668344635135137,1,2015,6,2,1,74.0,1159.457503,1085.457503,9.313167681775653,1.9345891650003562,4,1,1,1,0,0,1,0,10.342668612827213,1
347201,tt4618398,Boruto: Naruto the Movie,BORUTO -NARUTO THE MOVIE-,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!",2015-08-07,Released,"Action, Adventure, Animation, Comedy, Fantasy","ninja, shounen, anime, adventure",Hiroyuki Yamashita,"Yuko Sanpei, Cocoro Kikuchi, Junko Takeuchi, Noriaki Sugiyama, Daisuke Namikawa",0,38362448,95,7.461,1659,5.7308,ja,JP,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt4618398&plot=short&apikey=f87d98bd,0.0,1,2015,8,3,0,0.0,38.362448,38.362448,7.414572881350589,1.9066940073201546,5,1,1,0,0,1,1,1,3.2634400333006113,1
258509,tt2974918,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",2015-12-17,Released,"Adventure, Animation, Comedy, Family, Music","anthropomorphism, chipmunk, hitchhiker, aftercreditsstinger, duringcreditsstinger, live action and animation",Walt Becker,"Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney, Kimberly Williams-Paisley",90000000,233755553,92,6.032,1757,5.2364,en,US,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt2974918&plot=short&apikey=f87d98bd,2.597283922222222,1,2015,12,4,1,90.0,233.755553,143.755553,7.471932078245122,1.8304030928202595,5,1,1,1,0,0,1,0,4.072128040659807,1
303857,tt3819668,Dragon Ball Z: Resurrection 'F',ドラゴンボールZ 復活の「F」,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",2015-04-18,Released,"Action, Animation, Science Fiction","martial arts, resurrection, sequel, aftercreditsstinger, alien attack, shounen, anime, adventure",Tadayoshi Yamamuro,"Masako Nozawa, Ryo Horikawa, Ryusei Nakao, Koichi Yamadera, Masakazu Morita",5000000,61768190,93,6.872,2018,5.2299,ja,JP,False,False,OMDb request failed: 401 Client Error: Unauthorized for url: https://www.omdbapi.com/?i=tt3819668&plot=short&apikey=f87d98bd,12.353638,1,2015,4,2,0,5.0,61.76819,56.76819,7.610357618312838,1.8293602813061713,3,1,0,0,0,0,0,1,8.69309478494285,1
