title,imdb_id,release_date,genres,budget,revenue,runtime,vote_average,vote_count,popularity,original_language,production_country
Avatar,tt0499549,2009-12-18,"Action,Adventure,Science Fiction",237000000,2923000000,162,7.6,31000,98.4,en,US
Frozen,tt2294629,2013-11-27,"Animation,Adventure,Family",150000000,1285000000,102,7.2,16500,85.1,en,US
Toy Story 4,tt1979376,2019-06-21,"Animation,Comedy,Family",200000000,1073000000,100,7.5,9800,71.5,en,US
Spider-Man: Into the Spider-Verse,tt4633694,2018-12-14,"Action,Adventure,Animation",90000000,384000000,117,8.4,14500,77.0,en,US
Minions,tt2293640,2015-07-10,"Animation,Comedy,Family",74000000,1159000000,91,6.4,10800,69.2,en,US
The Lion King,tt6105098,2019-07-19,"Adventure,Drama,Family",260000000,1663000000,118,6.9,9500,80.4,en,US
The Incredibles,tt0317705,2004-11-05,"Action,Adventure,Animation",92000000,631000000,115,8.0,17900,58.4,en,US
Soul,tt2948372,2020-12-25,"Animation,Comedy,Family",150000000,121000000,100,8.1,9500,62.7,en,US
The Super Mario Bros. Movie,tt6718170,2023-04-05,"Animation,Adventure,Family",100000000,1360000000,92,7.1,6200,88.3,en,US
Inside Out 2,tt22022452,2024-06-14,"Animation,Comedy,Family",200000000,1698000000,96,7.6,4100,93.8,en,US
Arcane,tt11126994,2021-11-06,"Animation,Action,Fantasy",90000000,0,45,9.0,6200,61.2,en,US
Blue Eye Samurai,tt13309742,2023-11-03,"Animation,Action,Drama",70000000,0,50,8.7,1200,38.6,en,US
"Miraculous: Ladybug & Cat Noir, The Movie",tt10364034,2023-07-05,"Animation,Family,Fantasy",86000000,40800000,105,6.1,900,29.5,fr,FR
Klaus,tt4729430,2019-11-15,"Animation,Adventure,Comedy",40000000,1500000,96,8.2,2300,31.4,en,ES
Persepolis,tt0808417,2007-06-27,"Animation,Drama,War",7300000,22000000,96,8.0,74000,18.5,fr,FR
Your Name,tt5311514,2016-08-26,"Animation,Drama,Fantasy",5000000,358000000,106,8.4,3100,48.8,ja,JP
The Boy and the Heron,tt6587046,2023-07-14,"Animation,Adventure,Drama",50000000,294000000,124,7.6,2600,56.7,ja,JP
Ernest & Celestine,tt1816518,2012-12-14,"Animation,Family,Drama",9600000,14600000,80,7.8,330,12.2,fr,FR
A Silent Voice,tt5323662,2016-09-17,"Animation,Drama,Romance",2300000,31600000,130,8.1,1700,27.0,ja,JP
Nimona,tt19500164,2023-06-30,"Animation,Adventure,Fantasy",65000000,0,101,7.5,1400,44.3,en,US
