tmdb_id,imdb_id,title,original_title,overview,release_date,status,genres,keywords,director,top_cast,budget,revenue,runtime,vote_average,vote_count,popularity,original_language,production_country,adult,video,omdb_title,omdb_year,omdb_rated,omdb_released,omdb_runtime,omdb_genres,omdb_director,omdb_writer,omdb_actors,omdb_plot,omdb_language,omdb_country,omdb_awards,omdb_metascore,omdb_imdb_rating,omdb_imdb_votes,omdb_box_office,omdb_production,omdb_error
502356,tt6718170,The Super Mario Bros. Movie,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",2023-04-05,Released,"Family, Comedy, Adventure, Fantasy, Animation","gorilla, plumber, villain, anthropomorphism, based on video game, nostalgic, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress","Michael Jelenic, Aaron Horvath","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key",100000000,1360879735,93,7.597,10679,42.4097,en,JP,False,False,The Super Mario Bros. Movie,2023,PG,05 Apr 2023,92,"Animation, Adventure, Comedy","Aaron Horvath, Michael Jelenic, Pierre Leduc",Matthew Fogel,"Chris Pratt, Anya Taylor-Joy, Charlie Day","Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.",English,"Japan, United States",2 wins & 49 nominations total,46,7.0,292599,"$574,934,330",N/A,
569094,tt9362722,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,Released,"Animation, Action, Adventure, Science Fiction","new york city, hero, double life, sacrifice, secret identity, superhero, villain, portal, based on comic, sequel","Kemp Powers, Justin K. Thompson, Joaquim Dos Santos","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Vélez, Jake Johnson",100000000,690897910,140,8.335,8575,24.7553,en,US,False,False,Spider-Man: Across the Spider-Verse,2023,PG,02 Jun 2023,140,"Animation, Action, Adventure","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",English,United States,Nominated for 1 Oscar. 107 wins & 164 nominations total,86,8.5,509515,"$381,593,754",N/A,
976573,tt15789038,Elemental,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2023-06-14,Released,"Animation, Comedy, Family, Fantasy, Romance","fire, earth, computer animation, duringcreditsstinger, elements, water, city, lighthearted, romantic, whimsical",Peter Sohn,"Leah Lewis, Mamoudou Athie, Ronnie del Carmen, Shila Ommi, Wendi McLendon-Covey",200000000,496444308,102,7.577,5277,14.1651,en,US,False,False,Elemental,2023,PG,16 Jun 2023,101,"Animation, Adventure, Comedy",Peter Sohn,"John Hoberg, Kat Likkel, Brenda Hsueh","Leah Lewis, Mamoudou Athie, Ronnie Del Carmen","Follow Ember and Wade, in a city where fire, water, earth and air live together.",English,United States,Nominated for 1 Oscar. 3 wins & 69 nominations total,58,7.0,163663,"$154,426,697",N/A,
940551,tt6495056,Migration,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",2023-12-06,Released,"Family, Comedy, Adventure, Animation","duck, villain, migration, flight, anthropomorphism, family, animals, chef, overprotective father, bird",Benjamin Renner,"Kumail Nanjiani, Elizabeth Banks, Caspar Jennings, Tresi Gazal, Awkwafina",72000000,298776052,83,7.351,2234,13.0195,en,US,False,False,Migration,2023,PG,22 Dec 2023,83,"Animation, Adventure, Comedy",Benjamin Renner,"Mike White, Benjamin Renner, Ken Daurio","Kumail Nanjiani, Tresi Gazal, Elizabeth Banks",A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,English,"Japan, United States",1 win & 8 nominations total,56,6.6,45901,"$127,630,880",N/A,
508883,tt6587046,The Boy and the Heron,君たちはどう生きるか,"While the Second World War rages, the teenage Mahito, haunted by his mother's tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy's mother.  As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the ""long-awaited one.""",2023-07-14,Released,"Animation, Fantasy, Drama","loss of loved one, world war ii, supernatural, education, coming of age, spirituality, poverty, teenage boy, parallel world, troubled childhood",Hayao Miyazaki,"Soma Santoki, Masaki Suda, Ko Shibasaki, Aimyon, Yoshino Kimura",50000000,294200000,124,7.403,2625,11.6474,ja,JP,False,False,The Boy and the Heron,2023,PG-13,08 Dec 2023,124,"Animation, Adventure, Drama",Hayao Miyazaki,Hayao Miyazaki,"Soma Santoki, Masaki Suda, Kô Shibasaki","In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",Japanese,Japan,Won 1 Oscar. 34 wins & 87 nominations total,91,7.3,123968,"$47,343,204",N/A,
1034062,tt22698070,Mortal Kombat Legends: Cage Match,Mortal Kombat Legends: Cage Match,"In 1980s Hollywood, action star Johnny Cage is looking to become an A-list actor. But when his costar, Jennifer, goes missing from set, Johnny finds himself thrust into a world filled with shadows, danger, and deceit. As he embarks on a bloody journey, Johnny quickly discovers the City of Angels has more than a few devils in its midst. He faces off against a sinister secret society plotting a nefarious scheme, but the brutal fight against the bloodthirsty warriors of the Netherrealm is just beginning.",2023-10-17,Released,"Animation, Action, Fantasy","martial arts, fighting, based on video game, adult animation, extreme blood",Ethan Spaulding,"Joel McHale, Jennifer Grey, Dusan Brown, Grey DeLisle, Robin Atkin Downes",0,0,80,6.768,149,10.8141,en,US,False,False,,,,,,,,,,,,,,,,,,,OMDb request failed: Error getting data.
893723,tt15837338,PAW Patrol: The Mighty Movie,PAW Patrol: The Mighty Movie,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",2023-09-21,Released,"Adventure, Animation, Comedy, Family, Science Fiction","superhero, cartoon, mad scientist, sequel, dog, animals, kids, elasticity, based on tv series",Cal Brunker,"Mckenna Grace, Taraji P. Henson, Marsai Martin, Iain Armitage, Ron Pardo",30000000,202231360,88,6.962,546,10.1553,en,CA,False,False,PAW Patrol: The Mighty Movie,2023,PG,29 Sep 2023,88,"Animation, Action, Adventure",Cal Brunker,"Cal Brunker, Bob Barlen, Shane Morris","Dan Duran, Kristen Bell, James Marsden","A magical meteor falls in Adventure City and gives the PAW Patrol superpowers, transforming them into the Mighty Pups. But they face their most powerful challenge when Humdinger teams up with a mad scientist to steal their powers.",English,"Canada, United States",1 win & 8 nominations total,49,5.9,6292,"$65,343,309",N/A,
1022796,tt11304740,Wish,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",2023-11-13,Released,"Animation, Family, Fantasy, Adventure","friendship, villain, black magic, wish, musical, computer animation, female protagonist, betrayal by friend, aftercreditsstinger, woman director","Fawn Veerasunthorn, Chris Buck","Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral, Victor Garber",175000000,254997360,95,6.221,1773,7.9596,en,US,False,False,Wish,2023,PG,22 Nov 2023,95,"Animation, Adventure, Comedy","Chris Buck, Fawn Veerasunthorn","Jennifer Lee, Allison Moore, Chris Buck","Ariana DeBose, Chris Pine, Alan Tudyk",A young girl wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,English,United States,1 win & 22 nominations total,47,5.5,49621,"$63,973,821",N/A,
812225,tt22868844,Black Clover: Sword of the Wizard King,映画 ブラッククローバー 魔法帝の剣,"As a lionhearted boy who can't wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",2023-06-16,Released,"Animation, Fantasy, Action, Adventure","magic, based on manga, demon, wizard, shounen, anime",Ayataka Tanemura,"Gakuto Kajiwara, Nobunaga Shimazaki, Junichi Suwabe, Kana Yuuki, Toshihiko Seki",0,0,113,8.091,380,7.2861,ja,JP,False,False,Black Clover: Sword of the Wizard King,2023,TV-14,16 Jun 2023,110,"Animation, Action, Adventure",Ayataka Tanemura,"Johnny Onda, Ai Orii, Yuuki Tabata","Bryn Apprill, Tia Lynn Ballard, Steve Blum","In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King"" to overcome adversity, prove his power, and keep his oath with his friends.","Spanish, English, Portuguese, Italian, Polish, Japanese",Japan,1 nomination total,N/A,7.4,9611,N/A,N/A,
1075794,tt5755238,Leo,Leo,"Jaded 74-year-old reptile Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.",2023-11-17,Released,"Animation, Comedy, Family","midlife crisis, classroom, musical, school, unlikely friendship, bucket list, growing pains, animal human friendship, heartfelt, exhilarated","Robert Marianetti, Robert Smigel, David Wachtenheim","Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander, Rob Schneider",0,0,102,7.368,1336,6.7309,en,AU,False,False,Leo,2023,PG,21 Nov 2023,102,"Animation, Adventure, Comedy","Robert Marianetti, Robert Smigel, David Wachtenheim","Robert Smigel, Adam Sandler, Paul Sado","Adam Sandler, Bill Burr, Cecily Strong",A 74-year-old lizard named Leo and his turtle friend decide to escape from the terrarium of a Florida school classroom where they have been living for decades.,English,"Australia, United States",3 wins & 4 nominations total,65,7.0,44191,N/A,N/A,
